date,India_AverageTemperature
1899-07-01,28.264710997442457
1899-08-01,28.75136828644501
1899-09-01,28.390787723785166
1899-10-01,26.28565984654732
1899-11-01,22.39491560102302
1899-12-01,19.4026905370844
1900-01-01,18.897194373401533
1900-02-01,21.56873145780051
1900-03-01,26.560736572890026
1900-04-01,29.225191815856782
1900-05-01,31.151680306905373
1900-06-01,31.254176470588234
1900-07-01,28.949595907928387
1900-08-01,27.93608695652174
1900-09-01,27.00073401534527
1900-10-01,25.227365728900256
1900-11-01,22.628150895140664
1900-12-01,19.572608695652175
1901-01-01,17.65310230179028
1901-02-01,20.183176470588236
1901-03-01,25.207508951406652
1901-04-01,29.12680051150895
1901-05-01,31.1830537084399
1901-06-01,31.391452685421996
1901-07-01,28.9577442455243
1901-08-01,27.633856777493605
1901-09-01,27.749524296675194
1901-10-01,26.648805626598467
1901-11-01,22.419757033248082
1901-12-01,18.9000537084399
1902-01-01,19.16781074168798
1902-02-01,21.357329923273657
1902-03-01,26.688554987212278
1902-04-01,29.349289002557544
1902-05-01,31.570230179028137
1902-06-01,30.8839462915601
1902-07-01,28.54159846547315
1902-08-01,28.40263938618926
1902-09-01,27.383721227621482
1902-10-01,25.719580562659846
1902-11-01,21.864312020460357
1902-12-01,18.456969309462917
1903-01-01,18.520184143222505
1903-02-01,20.247135549872123
1903-03-01,24.6830179028133
1903-04-01,28.866352941176473
1903-05-01,31.091918158567776
1903-06-01,31.250667519181587
1903-07-01,29.094662404092073
1903-08-01,27.632340153452688
1903-09-01,27.50820716112532
1903-10-01,25.554235294117646
1903-11-01,21.315930946291562
1903-12-01,18.006867007672636
1904-01-01,18.220373401534527
1904-02-01,20.67965217391304
1904-03-01,24.951953964194374
1904-04-01,29.68348081841432
1904-05-01,30.771994884910487
1904-06-01,30.076713554987215
1904-07-01,27.77871611253197
1904-08-01,27.527618925831206
1904-09-01,27.422907928388746
1904-10-01,25.754117647058823
1904-11-01,21.57206905370844
1904-12-01,18.660117647058822
1905-01-01,17.24013810741688
1905-02-01,17.550204603580564
1905-03-01,23.514120204603582
1905-04-01,27.07892327365729
1905-05-01,31.376687979539643
1905-06-01,31.578682864450126
1905-07-01,28.674299232736573
1905-08-01,28.09288491048593
1905-09-01,27.759629156010227
1905-10-01,26.00818158567775
1905-11-01,22.66893094629156
1905-12-01,18.465271099744246
1906-01-01,17.831340153452686
1906-02-01,19.928158567774936
1906-03-01,23.932797953964194
1906-04-01,29.48987979539642
1906-05-01,32.380255754475705
1906-06-01,30.31316112531969
1906-07-01,28.471007672634272
1906-08-01,27.59858823529412
1906-09-01,27.287184143222508
1906-10-01,25.79184654731458
1906-11-01,22.550322250639386
1906-12-01,19.202081841432225
1907-01-01,19.192296675191816
1907-02-01,20.07499488491049
1907-03-01,23.779964194373402
1907-04-01,27.37707672634271
1907-05-01,30.43445780051151
